Postcode,Count taxable income or loss,Average taxable income or loss,Median taxable income or loss,Count salary and wages,Average salary and wages,Median salary and wages,Count net rent,Average net rent,Median net rent,Count total income or loss,Average total income or loss,Median total income or loss,Count total deductions,Average total deductions,Median total deductions,Count total business income,Average total business income,Median total business income,Count  total business expenses,Average total business expenses,Median total business expenses,Count net tax,Average net tax,Median net tax,Count super total accounts balance,Average super total accounts balance,Median super total accounts balance
3207,10895,91174,63017,8635,84823,66822,2514,-2922,-2786,10895,96087,67021,10895,4738,1301,1082,125110,29985,1034,94109,13251,8911,32771,17488,12881,200037,64713
3211,792,56645,43304,624,59986,46755,163,-1027,-1465,792,65097,45679,792,8438,834,70,104972,22410,71,86859,15243,591,17959,11382,880,150454,66399
3212,9183,51142,42038,7836,53248,46098,1274,-3092,-2221,9183,53689,44381,9183,2492,913,636,57745,28646,605,42530,13768,6981,13740,9512,10147,103519,48959
3214,9233,41267,37035,7996,42480,39896,668,-2681,-1504,9233,43165,38778,9233,1886,742,620,45419,26200,589,29940,10874,6841,9030,6436,12263,59172,22559
3215,10911,48825,40200,8845,49961,44028,1616,-708,-940,10911,51252,42234,10911,2402,873,866,56798,22676,835,39342,9947,8154,12917,8383,12506,112343,44587
3216,32123,51805,40604,25265,51750,44126,4311,-1900,-1370,32123,54375,42799,32123,2535,809,2655,72810,26529,2558,51608,12181,23483,14996,9468,35273,133258,52201
3217,2403,52049,45960,2048,53425,49344,288,-2505,-2034,2403,54967,48916,2403,2873,1346,249,68977,24370,244,48886,11944,1933,12957,9604,2434,97085,41435
3218,7671,53908,43252,6355,54131,46237,1094,-2710,-2242,7671,56701,45547,7671,2736,980,705,64549,24983,688,40057,10600,5885,15161,9655,8699,111073,47102
3219,10199,45593,39119,8470,46765,42472,1054,-1532,-1496,10199,47832,41168,10199,2202,817,826,61354,23661,793,44459,11006,7633,11067,7518,12137,91172,38345
3220,10865,68868,45055,8036,57826,45662,2068,-852,-1388,10865,72439,47731,10865,3416,833,1041,118325,29985,1009,77370,14522,8223,24089,11507,12196,209690,56621
3221,2671,62429,43003,1839,55678,45473,577,-1223,-513,2671,66073,45600,2671,3280,757,287,91442,31302,292,66834,19098,2024,20475,9985,2715,208059,70519
3222,7739,47568,37428,5803,48446,41846,921,-1365,-1159,7739,49984,39631,7739,2346,711,735,83894,30998,720,60347,15799,5529,13163,8106,8596,131955,52156
3223,3543,45070,34125,2317,46389,39149,529,-236,-302,3543,47473,35815,3543,2364,508,342,48508,24210,339,32417,13190,2291,13571,7827,4185,158770,61579
3224,7479,49032,41161,5979,49626,44400,889,-2307,-1763,7479,51482,43331,7479,2409,882,593,71212,28582,580,52205,15186,5623,12832,8602,8223,116894,48535
3225,2577,56010,36209,1478,50468,39692,426,2599,897,2577,60302,38590,2577,3506,601,280,76814,28481,273,55170,13119,1696,20340,9642,2751,289168,97041
3226,8379,52048,40022,6206,51701,43476,1322,-1458,-1418,8379,54780,42337,8379,2704,834,922,65636,25981,904,40267,12262,6055,15377,9360,9275,158916,64710
3227,2919,62930,41984,1985,58918,43825,494,-2955,-1658,2919,66920,44896,2919,3721,852,379,63609,28320,380,37374,12175,2109,21716,11624,3166,239637,74989
3228,10906,59902,42403,8005,56059,44972,1750,-2839,-1506,10906,63061,45158,10906,3076,899,1423,70370,31480,1389,45840,13520,8067,19581,10800,11792,158085,58101
3230,1600,45218,34692,1032,46635,38912,253,933,336,1600,47962,36600,1600,2506,658,191,68569,31935,190,44264,12158,1048,13402,7810,1755,182758,60843
3231,813,54999,34690,498,49920,36074,140,-781,116,813,58537,37628,813,3452,759,122,65647,31310,116,44614,11396,559,18742,7693,847,232050,71502
3232,821,44280,31759,487,39288,32378,139,530,209,821,47202,34365,821,2858,431,120,104297,36774,115,81664,17140,544,12936,6716,860,211570,43044
3233,1319,37620,29778,841,36263,31161,170,3429,1414,1319,40380,31579,1319,2411,387,206,68842,21785,196,52158,13550,824,9889,5664,1413,133435,36253
3235,233,41532,33600,144,44283,36998,41,-381,-419,233,44825,36890,233,2299,330,42,89569,38638,42,68527,20602,149,11750,6875,249,120943,36537
3236,153,37330,27619,106,45382,38017,27,-4579,-2641,153,39818,30155,153,2097,651,20,45411,16989,21,32594,6919,92,10486,6731,161,116921,45613
3237,124,27089,21654,68,28523,20993,15,3908,1402,124,31901,24407,124,3920,200,25,62850,29881,24,36420,20969,61,9625,3549,144,111855,25114
3238,180,29618,23372,104,38946,33692,23,1008,3044,180,31841,24910,180,1882,300,33,48503,22910,35,41417,16350,97,9062,5899,171,137508,38023
3239,252,40313,35440,157,47277,46727,30,681,-662,252,43334,38418,252,2574,529,38,44628,21922,40,45193,17656,163,11597,8632,286,96105,29392
3240,1310,50936,39122,936,51348,41944,173,-3290,-1558,1310,53824,41310,1310,2430,604,173,75202,25597,173,57163,13564,922,15655,9391,1375,137552,58937
3241,1442,43358,35489,1039,45995,41067,168,-1701,-1158,1442,46194,37564,1442,2488,644,192,68577,30345,191,58041,23545,996,11646,7958,1545,124289,42167
3242,576,39470,33367,379,40816,36890,89,2641,697,576,42843,35451,576,2567,450,89,78796,30545,84,69661,21551,384,9935,6797,596,130975,45016
3243,224,50404,28876,125,42144,31431,22,-2240,1396,224,54127,30292,224,3079,342,40,68095,18883,37,62084,15791,137,19489,8307,220,194034,51195
3249,2234,41756,35412,1501,43901,39175,280,-806,-1397,2234,45032,38481,2234,2575,590,274,107490,29773,267,99803,29541,1530,11078,7821,2290,136437,47696
3250,6518,43369,37938,5187,44455,41514,702,-1174,-876,6518,45777,40264,6518,2321,813,444,66798,26640,441,51523,17068,4787,10491,7432,7453,107141,38733
3251,304,41709,33844,202,45606,40336,36,-230,-450,304,45096,37647,304,3070,648,43,94164,29130,43,78781,37358,200,11681,7854,319,114527,34868
3254,179,41087,35437,137,43169,40087,12,-4581,-3536,179,43436,37223,179,2089,860,26,92633,34508,25,86397,34510,133,8269,5240,204,73145,25637
3260,2675,42572,35395,1837,43273,38297,343,466,-35,2675,45766,38157,2675,2650,608,264,99957,36479,263,87804,20871,1857,11124,6904,2922,137631,42688
3264,1385,44473,37669,968,43270,39816,214,-326,-654,1385,47162,39829,1385,2379,637,126,117808,29126,121,101755,19385,990,11334,7797,1498,112684,43718
3265,1394,46164,39862,939,40568,39907,189,-610,-604,1394,49818,42458,1394,3251,667,145,101409,46848,141,82249,29668,1020,12007,8215,1496,98475,33109
3266,1768,42598,36838,1144,42169,39352,214,1425,-95,1768,45578,39597,1768,2652,527,159,111727,36000,160,89212,20038,1236,10778,7445,1865,113246,40431
3267,181,38034,30905,105,34587,29831,23,9747,-630,181,41284,33784,181,2040,299,23,114207,39918,23,94309,25556,123,7995,4606,175,85728,23376
3268,1807,44342,35651,1052,41985,35491,210,-46,718,1807,48013,38865,1807,3199,519,211,153510,49193,212,129047,25016,1250,11957,7674,1807,133390,35630
3269,416,49196,34871,240,46291,36248,52,493,-520,416,53567,38814,416,3666,370,62,79558,39088,61,59870,19406,310,14053,6968,441,107518,35118
3270,133,40184,34525,78,46810,35816,28,253,-2135,133,42910,36045,133,2686,385,21,111953,31178,22,82622,12176,89,10554,5419,146,168759,56078
3272,837,38500,32952,578,38024,34344,76,208,-592,837,41842,35463,837,2592,597,88,116853,35576,84,99560,20970,554,9698,6302,922,102401,41116
3273,86,41662,36742,30,39306,33300,11,-2062,1434,86,46567,41368,86,3951,146,8,110954,92753,7,84157,49436,58,11675,9297,86,195105,31603
3274,163,37589,27911,87,35504,32591,24,1292,477,163,41540,31018,163,3007,259,19,120438,67793,19,99177,44975,94,11270,5468,172,95331,26823
3275,250,43829,38046,192,44707,41956,23,-3232,-2898,250,46352,41713,250,1890,628,24,53316,28934,21,34129,19585,172,11341,8946,254,86912,39360
3276,280,43355,36638,198,42317,37293,52,1393,-278,280,46810,39244,280,1952,489,26,69316,28746,23,53592,28666,191,11974,7578,305,80567,30382
3277,1134,52765,40088,805,45880,40837,166,688,-222,1134,56138,42744,1134,3046,842,126,122257,36406,127,80828,21641,888,14092,7536,1180,117897,43707
3278,168,45507,35760,131,42600,35877,18,9353,3782,168,49080,37206,168,3030,906,11,217097,59070,12,149939,16060,125,11149,6655,193,93052,26933
3280,18410,46152,38110,14700,45022,39707,2156,-224,-748,18410,48785,40075,18410,2538,825,1496,78134,28200,1453,54963,14000,13577,12005,7336,20445,120244,43238
3281,1006,47753,38780,746,48291,41395,131,-763,-468,1006,51049,42116,1006,2800,783,106,75288,25704,106,61075,14766,737,12859,8054,1064,126131,53730
3282,1582,43708,37808,1208,44658,40002,201,-914,-681,1582,46304,39956,1582,2345,780,165,73921,32416,163,57535,22026,1159,10651,7390,1725,100688,45287
3283,667,46038,38471,496,44011,38256,108,-2090,-416,667,49373,41126,667,2981,665,75,85605,30000,74,70970,16635,499,12275,7352,729,104830,44420
3284,2044,46393,35387,1302,46395,38986,346,179,-366,2044,49165,37968,2044,2464,559,262,84421,36783,254,63992,16719,1397,13576,7625,2155,176153,60951
3285,724,47146,34146,496,46669,37405,93,206,-554,724,50338,37650,724,2773,538,94,106143,42188,91,83009,23586,490,14030,8687,760,139182,52634
3286,356,40746,33110,217,38406,37425,44,482,0,356,43721,37160,356,2428,300,50,76720,28010,47,54422,23093,241,10815,6753,374,106759,43498
3287,272,38989,32752,178,35465,30950,37,985,1071,272,41920,36004,272,2376,300,31,81019,48750,30,77012,28834,173,10959,6280,262,91630,38026
3289,474,41374,37205,304,40021,37748,57,1562,1039,474,44986,41068,474,2909,572,51,101625,63828,47,95756,47626,334,10232,6858,512,124978,44686
3292,100,32468,27510,51,30961,29993,16,1455,920,100,34396,30696,100,1869,300,9,118580,43525,10,51949,16604,56,8735,3570,125,182836,77903
3293,213,36652,33443,129,35556,33381,27,3665,736,213,42950,39436,213,3977,512,24,110591,33312,23,92339,10805,147,8701,5724,217,131546,40989
3294,589,37680,28996,372,37183,28454,93,183,-392,589,40792,31625,589,2674,325,75,114898,35679,73,99011,35026,368,10306,6715,602,141598,47179
3300,5872,43801,36856,4403,43727,39544,737,914,-68,5872,46620,38531,5872,2676,589,454,102519,35740,455,82767,20898,4161,11341,7032,6481,129526,47302
3301,719,40656,36474,483,42299,37405,94,2111,694,719,44772,38909,719,3102,443,86,83913,31036,86,72747,24560,496,10527,6921,744,143250,50650
3302,242,51627,36058,153,37608,34060,27,6723,4566,242,56323,39029,242,2371,300,26,51869,36118,23,36509,26733,156,19444,7212,260,96686,26161
3303,208,47199,34354,140,42700,34804,17,-432,364,208,50393,38350,208,2182,362,29,176689,64985,28,166897,55555,138,15688,8907,207,98543,30507
3304,1438,43375,37798,1009,45772,41662,150,19,326,1438,46438,40812,1438,2301,520,180,83241,36896,179,73422,26277,1033,11040,8269,1609,112526,47429
3305,6923,50525,39597,5639,51910,42938,864,-1028,-1042,6923,52761,41801,6923,2132,818,530,70178,28459,525,55042,18312,5080,14136,9323,8097,128431,50155
3309,51,37358,28516,29,29682,26453,1,583,583,51,39057,28783,51,1288,150,7,169925,65803,7,148616,56071,32,7346,5188,61,86503,24455
3310,141,38644,34078,99,37797,35080,13,2663,2530,141,41541,37962,141,2338,538,22,869922,57332,22,846552,41885,100,8498,5390,165,75215,33841
3311,953,40064,33957,645,40820,38157,82,70,280,953,42425,35357,953,1971,465,121,111052,47432,119,91962,34704,609,10771,6727,1026,102425,45009
3312,516,38039,31905,290,37349,33919,62,4286,1418,516,41115,34035,516,2358,269,70,91726,35574,71,78569,35397,324,10203,6583,510,111527,42530
3314,348,43184,31457,218,35864,31295,57,-1763,-1416,348,47581,33679,348,3229,300,36,76361,50798,34,75632,41030,224,15283,5338,348,145375,55701
3315,941,38384,33517,604,38694,36448,151,1583,147,941,41739,36900,941,2611,395,101,122791,37577,98,110098,27118,641,9812,6308,975,124871,45982
3317,107,40965,36669,67,41388,36346,11,3607,1529,107,43950,39723,107,2153,300,19,125584,97578,19,116164,90439,77,10266,5765,123,86261,36572
3318,719,40536,35626,472,39890,36821,101,3793,2421,719,43453,37466,719,1895,304,67,118291,62484,68,99632,42314,479,10670,7342,778,86481,39403
3319,229,37286,32495,148,37645,35598,22,1772,-54,229,41460,34111,229,3000,300,22,65179,17470,24,45436,6000,151,10223,5509,233,83224,38650
3321,901,49043,40803,677,53272,46005,129,-1912,-908,901,51801,43678,901,2459,768,99,53121,24629,96,34458,14228,665,13461,9163,954,114307,57144
3324,299,39848,34899,172,37169,33564,26,-4467,-538,299,43455,37013,299,3072,311,46,120817,35062,47,100035,22791,198,10148,7965,296,111426,34204
3325,277,45123,35055,166,40656,37412,41,398,100,277,50424,38686,277,3130,350,39,75749,54703,38,60978,40460,181,15145,8538,292,132161,42395
3328,946,51139,44625,799,53453,46842,111,-1729,-1828,946,54026,46722,946,2584,1014,79,61766,28755,79,40116,13632,734,13335,9582,1048,95896,54772
3329,164,34342,29316,111,41028,37000,19,3142,1200,164,37607,32186,164,2155,386,20,64523,54280,20,61678,35438,101,9297,6394,168,127055,50603
3330,129,38897,37744,92,38490,39022,14,2271,2136,129,42224,39356,129,3324,1095,16,85881,59249,16,72160,36783,91,8586,6970,139,126425,30843
3331,3277,50314,42830,2682,53148,47844,408,-2290,-1730,3277,53081,45160,3277,2690,994,274,47973,22730,273,38039,13808,2456,13694,9989,3437,119678,55835
3332,602,45542,38860,486,47196,42210,69,-2145,-1134,602,48385,41542,602,2772,780,53,71445,26844,55,51936,15682,450,11374,7691,657,99428,49525
3333,481,49134,38117,328,48505,45308,46,-363,1312,481,52357,40372,481,2279,500,55,75965,48103,53,67409,35735,345,13840,8007,518,141418,41377
3334,310,44890,38758,241,45313,41553,38,-257,-962,310,48037,41204,310,2853,662,37,56230,27859,39,51437,18752,219,12366,8380,342,95504,48771
3335,2394,50172,46904,2041,53288,51243,282,-2706,-3096,2394,53197,49604,2394,2999,1380,184,39543,24042,175,23954,12206,1969,11778,9642,2589,61479,29597
3337,18047,46517,42027,15466,49671,46606,1745,-4400,-3177,18047,49338,44750,18047,2789,1243,1461,55948,31575,1424,38208,15264,14052,10935,8310,21672,73373,33694
3338,10289,48228,43903,8917,51298,48032,937,-5157,-3520,10289,50977,46285,10289,2735,1192,793,55407,30370,769,38726,14228,8119,11499,8906,12122,67461,31875
3340,11381,52784,44148,9406,54969,48685,1516,-3137,-2498,11381,55912,46820,11381,3058,1268,843,70710,27259,835,52589,14208,8807,14262,9937,13043,107083,47921
3341,937,54336,43878,767,57536,49712,138,-3716,-2794,937,57541,47156,937,3141,1278,101,62494,21584,99,46609,12247,713,15349,10829,1063,121080,59481
3342,1868,49206,40592,1476,52990,46452,237,-2430,-2159,1868,52336,43487,1868,2907,1010,185,57929,27504,186,43798,17714,1399,13167,8888,2124,107673,49860
3345,689,53005,44240,565,55368,48531,95,-2549,-1687,689,55961,46946,689,2941,1251,74,50318,33326,74,35307,16278,531,14472,10252,784,115063,62871
3350,32200,50998,40608,26147,50132,43814,4476,-2171,-1710,32200,54033,43300,32200,2979,1066,2650,103042,27176,2610,76054,13506,24217,14063,8745,35921,129653,47210
3351,4406,43794,37434,3496,46280,41956,562,-1584,-1422,4406,46756,40201,4406,2854,1026,416,78542,32777,410,65820,19227,3172,11168,7849,4968,103811,48224
3352,8923,47952,39662,6886,49161,43866,1353,-2008,-1556,8923,51269,42634,8923,3090,965,910,96242,34555,898,79493,22350,6572,12939,8669,9726,121069,54031
3355,5723,44194,37080,4510,45336,41498,546,-1053,-1091,5723,46602,38996,5723,2352,812,374,74613,27010,370,47225,12678,4036,11436,7162,6859,103628,39404
3356,7416,41636,37956,6265,44030,41500,644,-1864,-1728,7416,44105,40162,7416,2452,1032,512,56599,28337,497,39746,15917,5489,9258,6685,8567,72348,33116
3357,2230,53392,42178,1738,53802,46590,344,-2665,-2491,2230,56640,44549,2230,3227,1092,198,86562,25307,200,49452,15029,1620,16224,10591,2389,155759,76764
3360,366,40499,33868,266,41692,37826,54,-919,-1483,366,43064,36851,366,2337,652,37,79759,17203,36,56776,9223,247,10067,7044,421,105854,47558
3361,359,34390,30592,240,36909,32296,55,399,-333,359,39046,33074,359,3666,520,34,112844,31903,34,108682,26529,222,8968,6435,372,92626,32489
3363,1812,43698,36122,1374,44688,41222,204,-543,-726,1812,46496,38807,1812,2683,776,183,90259,36575,177,67860,18734,1286,11340,7084,2068,109567,44797
3364,1114,44308,35022,776,46920,40108,160,1189,0,1114,47336,37718,1114,2758,634,146,62890,37150,141,53610,20244,750,12672,7618,1193,119451,49980
3370,815,38094,33356,597,41725,38261,109,-1556,-516,815,40671,35145,815,2451,692,118,68139,23784,111,55985,18080,536,9297,6838,985,84202,37919
3371,475,37254,33130,359,39448,37603,56,1737,506,475,39254,34828,475,1937,572,56,60036,28856,54,42451,22697,306,9270,6082,579,75194,32287
3373,1128,37324,32006,785,43752,38844,161,1865,532,1128,40407,35278,1128,2496,692,111,84283,36350,110,73944,25354,726,9842,6270,1285,105449,44095
3374,164,43236,37778,128,49318,44999,19,-2708,-2617,164,45183,40405,164,1943,560,21,90755,72080,21,75547,45207,116,11032,7805,179,97873,48254
3375,139,40250,30391,87,39054,36700,22,7644,-874,139,43480,35223,139,2938,468,16,119524,52070,16,121035,41300,81,12604,7144,145,208814,40511
3377,4823,42716,37371,3849,44829,41202,619,-193,-614,4823,44978,39455,4823,2196,698,341,91581,29173,334,80647,22428,3421,10528,7341,5608,103831,42012
3378,117,43440,35584,68,30922,25552,19,4752,1319,117,47964,41600,117,4498,300,9,146566,56816,9,131896,54931,77,12815,9265,106,142040,44688
3379,394,45810,33502,216,32520,29636,55,5430,858,394,52486,38462,394,5290,402,49,99972,39873,47,83877,44953,268,13472,6997,406,200664,45331
3380,3396,43150,36842,2644,46287,41629,430,-593,-888,3396,45122,38622,3396,1898,598,263,98698,37698,261,81659,23468,2396,10963,7629,3897,99772,43776
3381,609,40695,32772,426,45309,37112,116,-1503,-892,609,43006,33938,609,2044,503,76,67773,27173,72,57095,14782,412,10602,6518,670,141407,52120
3384,284,34398,27337,196,36378,30893,35,1092,0,284,37091,30878,284,1722,314,44,102563,28908,43,94054,36470,174,8846,5390,302,79009,36528
3385,242,37574,31136,154,37927,34533,38,545,194,242,41649,34486,242,2757,304,33,132776,33717,34,117565,19701,155,10622,6713,272,131758,37392
3387,202,32606,27585,122,35196,31115,18,-919,132,202,34644,28920,202,1774,278,22,67825,42780,21,70024,45577,125,7764,6121,209,98417,34851
3388,349,42599,33302,204,39192,36128,43,5764,1441,349,45460,35836,349,2855,292,40,77924,35594,38,65916,29250,230,12429,7774,354,135699,41884
3390,504,36768,34497,352,40998,39646,69,1211,-533,504,38956,35708,504,2057,528,53,101730,17140,49,96323,21660,336,10396,6519,565,105925,46558
3391,85,33592,25703,44,57005,26984,13,4844,895,85,37506,27200,85,3915,267,13,72199,43436,12,69842,38796,50,16031,9732,83,102201,30226
3392,300,32743,27928,170,31960,26854,32,2718,400,300,35485,28976,300,2552,332,19,51917,23217,18,43579,13506,179,9991,5629,304,104619,37070
3393,1443,40048,35191,974,39326,36754,143,3101,684,1443,42510,36841,1443,2456,440,125,130416,31000,122,123713,19525,1007,10232,6574,1563,132875,46045
3395,252,34073,29614,119,31618,28987,28,3730,242,252,38605,33940,252,4121,199,25,60383,27703,22,59536,26196,152,11299,6689,266,164102,31728
3396,409,41196,31528,278,35662,31702,37,1029,1200,409,44200,33452,409,2951,531,27,37135,9250,25,34924,6394,251,12373,9236,429,165735,47510
3400,8141,44446,37656,6386,43894,40674,956,952,-160,8141,47027,39910,8141,2456,724,523,90683,27567,508,72401,16529,5933,11150,7380,8925,120623,44688
3401,2584,40381,35140,1775,42283,38169,399,1440,44,2584,43191,37476,2584,2574,527,270,72784,31646,267,66590,27210,1785,11121,7151,2655,120224,52326
3407,275,39643,33555,179,38568,30500,36,-875,128,275,43300,37528,275,2784,340,27,51867,20704,26,54591,14298,187,10541,7637,311,99960,36396
3409,601,38923,35653,368,38336,35987,86,3806,2251,601,42393,37733,601,3288,544,74,74816,41036,72,65005,24124,426,9578,6346,616,133481,43636
3412,177,46045,34169,113,40518,33686,31,-143,-459,177,50539,36522,177,2625,622,17,59438,20673,16,43290,9796,127,14991,5167,188,108417,40609
3413,139,31041,31791,84,34010,32450,16,559,-1288,139,36330,33994,139,2269,300,16,95476,62527,16,84495,52164,85,7152,5182,130,97723,30513
3414,876,45794,39124,617,48159,42176,117,239,-173,876,48710,41846,876,2798,737,73,71343,32758,73,60700,23997,642,11588,8227,992,103745,44833
3418,1690,42587,36108,1099,39212,37203,212,5044,939,1690,45425,38104,1690,2537,446,139,95997,40264,132,82780,27736,1185,11304,6633,1766,111345,38588
